number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
93;93;Common;;Abra;Abra;Pokémon;Psychic;63;Hajime Kusajima;https://www.pokepedia.fr/images/3/37/Carte_Expedition_93.png;https://images.pokemontcg.io/ecard1/93.png;ecard1
94;94;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Sachi Matoba;https://www.pokepedia.fr/images/d/d8/Carte_Expedition_94.png;https://images.pokemontcg.io/ecard1/94.png;ecard1
95;95;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Tomokazu Komiya;https://www.pokepedia.fr/images/a/a0/Carte_Expedition_95.png;https://images.pokemontcg.io/ecard1/95.png;ecard1
96;96;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Miki Tanaka;https://www.pokepedia.fr/images/7/79/Carte_Expedition_96.png;https://images.pokemontcg.io/ecard1/96.png;ecard1
97;97;Common;;Salamèche;Charmander;Pokémon;Fire;4;Masako Yamashita;https://www.pokepedia.fr/images/1/14/Carte_Expedition_97.png;https://images.pokemontcg.io/ecard1/97.png;ecard1
98;98;Common;;Salamèche;Charmander;Pokémon;Fire;4;Yuichi Sawayama;https://www.pokepedia.fr/images/4/47/Carte_Expedition_98.png;https://images.pokemontcg.io/ecard1/98.png;ecard1
99;99;Common;;Germignon;Chikorita;Pokémon;Grass;152;Miki Tanaka;https://www.pokepedia.fr/images/c/cc/Carte_Expedition_99.png;https://images.pokemontcg.io/ecard1/99.png;ecard1
100;100;Common;;Germignon;Chikorita;Pokémon;Grass;152;Motofumi Fujiwara;https://www.pokepedia.fr/images/1/10/Carte_Expedition_100.png;https://images.pokemontcg.io/ecard1/100.png;ecard1
101;101;Common;;Mélofée;Clefairy;Pokémon;Colorless;35;Tomokazu Komiya;https://www.pokepedia.fr/images/1/1b/Carte_Expedition_101.png;https://images.pokemontcg.io/ecard1/101.png;ecard1
102;102;Common;;Corayon;Corsola;Pokémon;Water;222;Miki Tanaka;https://www.pokepedia.fr/images/5/5e/Carte_Expedition_102.png;https://images.pokemontcg.io/ecard1/102.png;ecard1
103;103;Common;;Osselait;Cubone;Pokémon;Fighting;104;Tomokazu Komiya;https://www.pokepedia.fr/images/3/30/Carte_Expedition_103.png;https://images.pokemontcg.io/ecard1/103.png;ecard1
104;104;Common;;Héricendre;Cyndaquil;Pokémon;Fire;155;Sachi Matoba;https://www.pokepedia.fr/images/4/45/Carte_Expedition_104.png;https://images.pokemontcg.io/ecard1/104.png;ecard1
105;105;Common;;Héricendre;Cyndaquil;Pokémon;Fire;155;Kyoko Umemoto;https://www.pokepedia.fr/images/9/94/Carte_Expedition_105.png;https://images.pokemontcg.io/ecard1/105.png;ecard1
106;106;Common;;Taupiqueur;Diglett;Pokémon;Fighting;50;Masako Yamashita;https://www.pokepedia.fr/images/a/af/Carte_Expedition_106.png;https://images.pokemontcg.io/ecard1/106.png;ecard1
107;107;Common;;Minidraco;Dratini;Pokémon;Colorless;147;Kagemaru Himeno;https://www.pokepedia.fr/images/4/45/Carte_Expedition_107.png;https://images.pokemontcg.io/ecard1/107.png;ecard1
108;108;Common;;Abo;Ekans;Pokémon;Grass;23;Kyoko Umemoto;https://www.pokepedia.fr/images/a/a8/Carte_Expedition_108.png;https://images.pokemontcg.io/ecard1/108.png;ecard1
109;109;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Yukiko Baba;https://www.pokepedia.fr/images/6/6a/Carte_Expedition_109.png;https://images.pokemontcg.io/ecard1/109.png;ecard1
110;110;Common;;Racaillou;Geodude;Pokémon;Fighting;74;Aya Kusube;https://www.pokepedia.fr/images/0/0a/Carte_Expedition_110.png;https://images.pokemontcg.io/ecard1/110.png;ecard1
111;111;Common;;Poissirène;Goldeen;Pokémon;Water;118;Masako Yamashita;https://www.pokepedia.fr/images/b/be/Carte_Expedition_111.png;https://images.pokemontcg.io/ecard1/111.png;ecard1
112;112;Common;;Granivol;Hoppip;Pokémon;Grass;187;Toshinao Aoki;https://www.pokepedia.fr/images/f/f4/Carte_Expedition_112.png;https://images.pokemontcg.io/ecard1/112.png;ecard1
113;113;Common;;Malosse;Houndour;Pokémon;Darkness;228;Mitsuhiro Arita;https://www.pokepedia.fr/images/9/95/Carte_Expedition_113.png;https://images.pokemontcg.io/ecard1/113.png;ecard1
114;114;Common;;Smogo;Koffing;Pokémon;Grass;109;Hajime Kusajima;https://www.pokepedia.fr/images/9/91/Carte_Expedition_114.png;https://images.pokemontcg.io/ecard1/114.png;ecard1
115;115;Common;;Krabby;Krabby;Pokémon;Water;98;Shin-ichi Yoshida;https://www.pokepedia.fr/images/a/af/Carte_Expedition_115.png;https://images.pokemontcg.io/ecard1/115.png;ecard1
116;116;Common;;Embrylex;Larvitar;Pokémon;Fighting;246;Yukiko Baba;https://www.pokepedia.fr/images/f/fa/Carte_Expedition_116.png;https://images.pokemontcg.io/ecard1/116.png;ecard1
117;117;Common;;Machoc;Machop;Pokémon;Fighting;66;Shin-ichi Yoshida;https://www.pokepedia.fr/images/b/bb/Carte_Expedition_117.png;https://images.pokemontcg.io/ecard1/117.png;ecard1
118;118;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Tomokazu Komiya;https://www.pokepedia.fr/images/c/c4/Carte_Expedition_118.png;https://images.pokemontcg.io/ecard1/118.png;ecard1
119;119;Common;;Wattouat;Mareep;Pokémon;Lightning;179;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/f/f2/Carte_Expedition_119.png;https://images.pokemontcg.io/ecard1/119.png;ecard1
120;120;Common;;Marill;Marill;Pokémon;Water;183;Satoshi Ohta;https://www.pokepedia.fr/images/0/0a/Carte_Expedition_120.png;https://images.pokemontcg.io/ecard1/120.png;ecard1
121;121;Common;;Miaouss;Meowth;Pokémon;Colorless;52;Hironobu Yoshida;https://www.pokepedia.fr/images/b/b9/Carte_Expedition_121.png;https://images.pokemontcg.io/ecard1/121.png;ecard1
122;122;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Masako Yamashita;https://www.pokepedia.fr/images/1/12/Carte_Expedition_122.png;https://images.pokemontcg.io/ecard1/122.png;ecard1
123;123;Common;;Roucool;Pidgey;Pokémon;Colorless;16;Tomokazu Komiya;https://www.pokepedia.fr/images/d/d6/Carte_Expedition_123.png;https://images.pokemontcg.io/ecard1/123.png;ecard1
124;124;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Atsuko Nishida;https://www.pokepedia.fr/images/e/ea/Carte_Expedition_124.png;https://images.pokemontcg.io/ecard1/124.png;ecard1
125;125;Common;;Ptitard;Poliwag;Pokémon;Water;60;Yuka Morii;https://www.pokepedia.fr/images/6/6d/Carte_Expedition_125.png;https://images.pokemontcg.io/ecard1/125.png;ecard1
126;126;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Kagemaru Himeno;https://www.pokepedia.fr/images/f/f9/Carte_Expedition_126.png;https://images.pokemontcg.io/ecard1/126.png;ecard1
127;127;Common;;Qwilfish;Qwilfish;Pokémon;Water;211;Toshinao Aoki;https://www.pokepedia.fr/images/1/1f/Carte_Expedition_127.png;https://images.pokemontcg.io/ecard1/127.png;ecard1
128;128;Common;;Rattata;Rattata;Pokémon;Colorless;19;Yuka Morii;https://www.pokepedia.fr/images/b/bb/Carte_Expedition_128.png;https://images.pokemontcg.io/ecard1/128.png;ecard1
129;129;Common;;Kokiyas;Shellder;Pokémon;Water;90;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/1/1a/Carte_Expedition_129.png;https://images.pokemontcg.io/ecard1/129.png;ecard1
130;130;Common;;Piafabec;Spearow;Pokémon;Colorless;21;Kyoko Umemoto;https://www.pokepedia.fr/images/1/17/Carte_Expedition_130.png;https://images.pokemontcg.io/ecard1/130.png;ecard1
131;131;Common;;Carapuce;Squirtle;Pokémon;Water;7;Yuka Morii;https://www.pokepedia.fr/images/0/0a/Carte_Expedition_131.png;https://images.pokemontcg.io/ecard1/131.png;ecard1
132;132;Common;;Carapuce;Squirtle;Pokémon;Water;7;Kyoko Umemoto;https://www.pokepedia.fr/images/4/43/Carte_Expedition_132.png;https://images.pokemontcg.io/ecard1/132.png;ecard1
133;133;Common;;Tauros;Tauros;Pokémon;Colorless;128;Yuichi Sawayama;https://www.pokepedia.fr/images/7/70/Carte_Expedition_133.png;https://images.pokemontcg.io/ecard1/133.png;ecard1
134;134;Common;;Kaiminus;Totodile;Pokémon;Water;158;Mitsuhiro Arita;https://www.pokepedia.fr/images/d/d5/Carte_Expedition_134.png;https://images.pokemontcg.io/ecard1/134.png;ecard1
135;135;Common;;Kaiminus;Totodile;Pokémon;Water;158;Aimi Tomita;https://www.pokepedia.fr/images/3/34/Carte_Expedition_135.png;https://images.pokemontcg.io/ecard1/135.png;ecard1
136;136;Common;;Goupix;Vulpix;Pokémon;Fire;37;Yuka Morii;https://www.pokepedia.fr/images/1/13/Carte_Expedition_136.png;https://images.pokemontcg.io/ecard1/136.png;ecard1
137;137;Uncommon;;Entretien de Léo;Bill's Maintenance;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/0/0e/Carte_Expedition_137.png;https://images.pokemontcg.io/ecard1/137.png;ecard1
138;138;Uncommon;;Copieuse;Copycat;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/4/4d/Carte_Expedition_138.png;https://images.pokemontcg.io/ecard1/138.png;ecard1
139;139;Uncommon;;Double Boule;Dual Ball;Trainer;NoColor;;;https://www.pokepedia.fr/images/3/34/Carte_Expedition_139.png;https://images.pokemontcg.io/ecard1/139.png;ecard1
140;140;Uncommon;;Suppression d'Énergie 2;Energy Removal 2;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/f/f7/Carte_Expedition_140.png;https://images.pokemontcg.io/ecard1/140.png;ecard1
