rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
36;36;Common;;Ptitard;Poliwag;Pokémon;Water;60;Midori Harada;https://www.pokepedia.fr/images/thumb/c/c3/Carte_Soleil_et_Lune_Alliance_Infaillible_36.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_36.png;https://images.pokemontcg.io/sm10/36_hires.png;sm10
37;37;Common;;Ptitard;Poliwag;Pokémon;Water;60;Shibuzoh.;https://www.pokepedia.fr/images/thumb/e/e6/Carte_Soleil_et_Lune_Alliance_Infaillible_37.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_37.png;https://images.pokemontcg.io/sm10/37_hires.png;sm10
38;38;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Yukiko Baba;https://www.pokepedia.fr/images/thumb/1/1b/Carte_Soleil_et_Lune_Alliance_Infaillible_38.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_38.png;https://images.pokemontcg.io/sm10/38_hires.png;sm10
39;39;Rare;;Tartard;Poliwrath;Pokémon;Water;62;Akira Komayama;https://www.pokepedia.fr/images/thumb/0/09/Carte_Soleil_et_Lune_Alliance_Infaillible_39.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_39.png;https://images.pokemontcg.io/sm10/39_hires.png;sm10
40;40;Common;;Tentacool;Tentacool;Pokémon;Water;72;Shin Nagasawa;https://www.pokepedia.fr/images/thumb/3/36/Carte_Soleil_et_Lune_Alliance_Infaillible_40.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_40.png;https://images.pokemontcg.io/sm10/40_hires.png;sm10
41;41;Uncommon;;Tentacruel;Tentacruel;Pokémon;Water;73;Shigenori Negishi;https://www.pokepedia.fr/images/thumb/e/ee/Carte_Soleil_et_Lune_Alliance_Infaillible_41.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_41.png;https://images.pokemontcg.io/sm10/41_hires.png;sm10
42;42;Common;;Ramoloss;Slowpoke;Pokémon;Water;79;Kouki Saitou;https://www.pokepedia.fr/images/thumb/2/2c/Carte_Soleil_et_Lune_Alliance_Infaillible_42.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_42.png;https://images.pokemontcg.io/sm10/42_hires.png;sm10
43;43;Rare Holo;;Flagadoss;Slowbro;Pokémon;Water;80;Ken Sugimori;https://www.pokepedia.fr/images/thumb/7/7f/Carte_Soleil_et_Lune_Alliance_Infaillible_43.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_43.png;https://images.pokemontcg.io/sm10/43_hires.png;sm10
44;44;Common;;Otaria;Seel;Pokémon;Water;86;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/thumb/f/f4/Carte_Soleil_et_Lune_Alliance_Infaillible_44.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_44.png;https://images.pokemontcg.io/sm10/44_hires.png;sm10
45;45;Rare;;Lamantine;Dewgong;Pokémon;Water;87;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/f/fd/Carte_Soleil_et_Lune_Alliance_Infaillible_45.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_45.png;https://images.pokemontcg.io/sm10/45_hires.png;sm10
46;46;Common;;Krabby;Krabby;Pokémon;Water;98;Sekio;https://www.pokepedia.fr/images/thumb/1/16/Carte_Soleil_et_Lune_Alliance_Infaillible_46.png/431px-Carte_Soleil_et_Lune_Alliance_Infaillible_46.png;https://images.pokemontcg.io/sm10/46_hires.png;sm10
