rank;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
26;Uncommon;Reptincel d'Auguste;Blaine's Charmeleon;カツラのリザード;Pokémon;Fire;5;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168226.jpg
27;Rare Holo;Dracaufeu d'Auguste;Blaine's Charizard;カツラのリザードン;Pokémon;Fire;6;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1090721.jpg
28;Common;Goupix d'Auguste;Blaine's Vulpix;カツラのロコン;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168262.jpg
29;Rare;Feunard d'Auguste;Blaine's Ninetales;カツラのキュウコン;Pokémon;Fire;38;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168248.jpg
30;Common;Caninos d'Auguste;Blaine's Growlithe;カツラのガーディ;Pokémon;Fire;58;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168234.jpg
31;Rare Holo;Arcanin d'Auguste;Blaine's Arcanine;カツラのウインディ;Pokémon;Fire;59;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073806.jpg
32;Common;Ponyta d'Auguste;Blaine's Ponyta;カツラのポニータ;Pokémon;Fire;77;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149245.jpg
33;Uncommon;Galopa d'Auguste;Blaine's Rapidash;カツラのギャロップ;Pokémon;Fire;78;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168255.jpg
34;Uncommon;Magmar d'Auguste;Blaine's Magmar;カツラのブーバー;Pokémon;Fire;126;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168241.jpg
35;Rare Holo;Sulfura d'Auguste;Blaine's Moltres;カツラのファイヤー;Pokémon;Fire;146;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073834.jpg
36;Common;Psykokwak d'Ondine;Sabrina's Psyduck;ナツメのコダック;Pokémon;Water;54;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168537.jpg
37;Rare;Akwakwak de Morgane;Sabrina's Golduck;ナツメのゴルダック;Pokémon;Water;55;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168517.jpg
38;Rare;Tartare d’Ondine;Misty's Poliwrath;カスミのニョロボン;Pokémon;Water;62;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168457.jpg
39;Common;Magicarpe de Giovanni;Giovanni's Magikarp;サカキのコイキング;Pokémon;Water;129;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168357.jpg
40;Rare Holo;Léviator de Giovanni;Giovanni's Gyarados;サカキのギャラドス;Pokémon;Water;130;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073826.jpg
41;Rare;Raichu de Major Bob;Lt. Surge's Raichu;マチスのライチュウ;Pokémon;Lightning;26;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168425.jpg
42;Rare Holo;Électhor de Rocket;Rocket's Zapdos;R団のサンダー;Pokémon;Lightning;145;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095443.jpg
43;Common;Abra de Morgane;Sabrina's Abra;ナツメのケーシィ;Pokémon;Psychic;63;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168498.jpg
44;Uncommon;Kadabra de Morgane;Sabrina's Kadabra;ナツメのユンゲラー;Pokémon;Psychic;64;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168528.jpg
45;Rare Holo;Alakazam de Morgane;Sabrina's Alakazam;ナツメのフーディン;Pokémon;Psychic;65;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073802.jpg
46;Common;;Sabrina's Slowpoke;ナツメのヤドン;Pokémon;Psychic;79;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149257.jpg
47;Uncommon;;Sabrina's Slowbro;ナツメのヤドラン;Pokémon;Psychic;80;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168539.jpg
48;Common;Fantominus de Morgane;Sabrina's Gastly;ナツメのゴース;Pokémon;Psychic;92;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168509.jpg
49;Uncommon;Spectrum de Morgane;Sabrina's Haunter;ナツメのゴースト;Pokémon;Psychic;93;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168519.jpg
50;Rare Holo;Ectoplasma de Morgane;Sabrina's Gengar;ナツメのゲンガー;Pokémon;Psychic;94;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093934.jpg
51;Common;Soporifik de Morgane;Sabrina's Drowzee;ナツメのスリープ;Pokémon;Psychic;96;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149254.jpg
52;Uncommon;Hypnomade de Morgane;Sabrina's Hypno;ナツメのスリーパー;Pokémon;Psychic;97;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168522.jpg
53;Common;M. Mime de Morgane;Sabrina's Mr. Mime;ナツメのバリヤード;Pokémon;Psychic;122;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149255.jpg
54;Uncommon;Lippoutou de Morgane;Sabrina's Jynx;ナツメのルージュラ;Pokémon;Psychic;124;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168525.jpg
55;Rare Holo;Mewtwo de Rocket;Rocket's Mewtwo;R団のミュウツー;Pokémon;Psychic;150;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073812.jpg
56;Rare;Triopikeur de Pierre;Brock's Dugtrio;タケシのダグトリオ;Pokémon;Fighting;51;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168265.jpg
57;Common;Férosinge d'Auguste;Blaine's Mankey;カツラのマンキー;Pokémon;Fighting;56;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168244.jpg
58;Common;Machoc de Giovanni;Giovanni's Machop;サカキのワンリキー;Pokémon;Fighting;66;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168355.jpg
59;Uncommon;Machopeur de Giovanni;Giovanni's Machoke;サカキのゴーリキー;Pokémon;Fighting;67;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168353.jpg
60;Rare Holo;Mackogneur de Giovanni;Giovanni's Machamp;サカキのカイリキー;Pokémon;Fighting;68;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073796.jpg
61;Common;Rhinocorne d'Auguste;Blaine's Rhyhorn;カツラのサイホーン;Pokémon;Fighting;111;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168258.jpg
62;Uncommon;Roucool de Koga;Koga's Pidgey;キョウのポッポ;Pokémon;Colorless;16;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168404.jpg
63;Common;Roucool de Koga;Koga's Pidgey;キョウのポッポ;Pokémon;Colorless;16;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168402.jpg
64;Rare;Roucoups de Koga;Koga's Pidgeotto;キョウのピジョン;Pokémon;Colorless;17;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168400.jpg
65;Uncommon;Miaouss de Giovanni;Giovanni's Meowth;サカキのニャース;Pokémon;Colorless;52;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168361.jpg
66;Common;Miaouss de Giovanni;Giovanni's Meowth;サカキのニャース;Pokémon;Colorless;52;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168359.jpg
67;Rare Holo;Persian de Giovanni;Giovanni's Persian;サカキのペルシアン;Pokémon;Colorless;53;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073807.jpg
68;Common;Doduo d'Auguste;Blaine's Doduo;カツラのドードー;Pokémon;Colorless;84;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168229.jpg
69;Rare;Doduo d’Imakuni?;Imakuni?'s Doduo;イマクニ？のドードー;Pokémon;Colorless;84;Imakuni?;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148491.jpg
70;Rare;Leveinard de _____;_____'s Chansey;_____のラッキー;Pokémon;Colorless;113;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125481.jpg
