rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
20;Rare Holo;;Sulfura de Rocket;Rocket's Moltres;R団のファイヤー;Pokémon;Fire;146;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073791.jpg
28;Common;;Psykokwak d'Ondine;Misty's Psyduck;カスミのコダック;Pokémon;Water;54;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168459.jpg
29;Rare Holo;;Akwakwak d'Ondine;Misty's Golduck;カスミのゴルダック;Pokémon;Water;55;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073813.jpg
30;Common;;Ptitard d'Ondine;Misty's Poliwag;カスミのニョロモ;Pokémon;Water;60;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168454.jpg
31;Uncommon;;Têtarte d'Ondine;Misty's Poliwhirl;カスミのニョロゾ;Pokémon;Water;61;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168456.jpg
32;Uncommon;;Tentacool d'Ondine;Misty's Tentacool;カスミのメノクラゲ;Pokémon;Water;72;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168471.jpg
33;Rare Holo;;Tentacruel d'Ondine;Misty's Tentacruel;カスミのドククラゲ;Pokémon;Water;73;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093940.jpg
34;Common;;Otaria d'Ondine;Misty's Seel;カスミのパウワウ;Pokémon;Water;86;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168462.jpg
35;Uncommon;;Lamantine d'Ondine;Misty's Dewgong;カスミのジュゴン;Pokémon;Water;87;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168444.jpg
36;Common;;Hypotrempe d'Ondine;Misty's Horsea;カスミのタッツー;Pokémon;Water;116;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168450.jpg
37;Common;;Hypotrempe d'Ondine;Misty's Horsea;カスミのタッツー;Pokémon;Water;116;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168451.jpg
38;Rare Holo;;Hypocéan d'Ondine;Misty's Seadra;カスミのシードラ;Pokémon;Water;117;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1091158.jpg
39;Rare;;Poissirène d'Ondine;Misty's Goldeen;カスミのトサキント;Pokémon;Water;118;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168448.jpg
40;Common;;Stari d'Ondine;Misty's Staryu;カスミのヒトデマン;Pokémon;Water;120;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168466.jpg
41;Common;;Magicarpe d'Ondine;Misty's Magikarp;カスミのコイキング;Pokémon;Water;129;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168453.jpg
42;Rare Holo;;Léviator d'Ondine;Misty's Gyarados;カスミのギャラドス;Pokémon;Water;130;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073828.jpg
21;Common;;Pikachu de Major Bob;Lt. Surge's Pikachu;マチスのピカチュウ;Pokémon;Lightning;25;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168422.jpg
22;Uncommon;;Magnéti de Major Bob;Lt. Surge's Magnemite;マチスのコイル;Pokémon;Lightning;81;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168416.jpg
23;Common;;Magnéti de Major Bob;Lt. Surge's Magnemite;マチスのコイル;Pokémon;Lightning;81;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168419.jpg
24;Rare Holo;;Magnéton de Major Bob;Lt. Surge's Magneton;マチスのレアコイル;Pokémon;Lightning;82;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104965.jpg
25;Common;;Voltorbe de Major Bob;Lt. Surge's Voltorb;マチスのビリリダマ;Pokémon;Lightning;100;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168435.jpg
26;Rare Holo;;Élektek de Major Bob;Lt. Surge's Electabuzz;マチスのエレブー;Pokémon;Lightning;125;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073793.jpg
