rank;number;rarety_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
56;56;Uncommon;Fétiche de Force;Strength Charm;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168040.jpg;ecard1
57;57;Uncommon;Double Boule;Dual Ball;Trainer;NoColor;;« Big Mama » Tagawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167952.jpg;ecard1
58;58;Uncommon;Infirmière Pokémon;Pokémon Nurse;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168019.jpg;ecard1
59;59;Uncommon;Inversion de Pokémon;Pokémon Reversal;Trainer;NoColor;;« Big Mama » Tagawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168020.jpg;ecard1
60;60;Uncommon;Entretien de Léo;Bill's Maintenance;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167931.jpg;ecard1
61;61;Uncommon;Master Ball;Master Ball;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168000.jpg;ecard1
62;62;Uncommon;Machine Multi-technique 01;Multi Technical Machine 01;Trainer;NoColor;;Big Mama Tagawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168008.jpg;ecard1
63;63;Uncommon;Copieuse;Copycat;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167944.jpg;ecard1
64;64;Uncommon;Point de Distorsion;Warp Point;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168052.jpg;ecard1
65;65;Rare;Florizarre;Venusaur;Pokémon;Grass;3;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168047.jpg;ecard1
