rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
94;94;Common;;Sucroquin;Swirlix;Pokémon;Fairy;684;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_94.png;https://images.pokemontcg.io/xy1/94.png;xy1
95;95;Rare Holo;;Cupcanaille;Slurpuff;Pokémon;Fairy;685;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_95.png;https://images.pokemontcg.io/xy1/95.png;xy1
96;96;Rare;;Xerneas;Xerneas;Pokémon;Fairy;716;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_96.png;https://images.pokemontcg.io/xy1/96.png;xy1
97;97;Ultra;EX;Xerneas-EX;Xerneas-EX;Pokémon;Fairy;716;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_97.png;https://images.pokemontcg.io/xy1/97.png;xy1
98;98;Common;;Doduo;Doduo;Pokémon;Colorless;84;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_98.png;https://images.pokemontcg.io/xy1/98.png;xy1
99;99;Uncommon;;Dodrio;Dodrio;Pokémon;Colorless;85;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_99.png;https://images.pokemontcg.io/xy1/99.png;xy1
100;100;Rare;;Tauros;Tauros;Pokémon;Colorless;128;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_100.png;https://images.pokemontcg.io/xy1/100.png;xy1
101;101;Uncommon;;Insolourdo;Dunsparce;Pokémon;Colorless;206;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_101.png;https://images.pokemontcg.io/xy1/101.png;xy1
102;102;Common;;Nirondelle;Taillow;Pokémon;Colorless;276;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_102.png;https://images.pokemontcg.io/xy1/102.png;xy1
103;103;Rare;;Hélédelle;Swellow;Pokémon;Colorless;277;Mizue;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_103.png;https://images.pokemontcg.io/xy1/103.png;xy1
