rank;rarety_type;fr_name;en_name;super_type;energy_type;pokedex_number;artist;jap_url
64;Rare;;Koga's Pidgeotto;Pokémon;Colorless;17;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168400.jpg
65;Uncommon;;Giovanni's Meowth;Pokémon;Colorless;52;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168361.jpg
66;Common;;Giovanni's Meowth;Pokémon;Colorless;52;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168359.jpg
67;Rare Holo;;Giovanni's Persian;Pokémon;Colorless;53;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073807.jpg
68;Common;;Blaine's Doduo;Pokémon;Colorless;84;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168229.jpg
69;Rare;;Imakuni?'s Doduo;Pokémon;Colorless;84;Imakuni?;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148491.jpg
70;Rare;;_____'s Chansey;Pokémon;Colorless;113;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125481.jpg
71;Uncommon;;Blaine's Kangaskhan;Pokémon;Colorless;115;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073865.jpg
72;Common;;Blaine's Tauros;Pokémon;Colorless;128;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073866.jpg
73;Rare Holo;;Koga's Ditto;Pokémon;Colorless;132;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073799.jpg
74;Common;;Sabrina's Porygon;Pokémon;Colorless;137;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149256.jpg
75;Rare;;Rocket's Snorlax;Pokémon;Colorless;143;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125499.jpg
76;Uncommon;;Blaine's Last Resort;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168239.jpg
77;Uncommon;;Minion of Team Rocket;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168440.jpg
78;Uncommon;;Sabrina's ESP;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168507.jpg
79;Uncommon;;Tickling Machine;Trainer;NoColor;;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168553.jpg
80;Common;;Blaine's Gamble;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110416.jpg
