rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
65;65;Rare;;Steelix;Steelix;ハガネール;Pokémon;Metal;208;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471751.jpg;ex4
66;66;Uncommon;;Double Boule;Dual Ball;デュアルボール;Trainer;NoColor;;"Big Mama"" Tagawa""";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471752.jpg;ex4
67;67;Common;;Mystérieux Fossile;Mysterious Fossil;なにかの化石;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471753.jpg;ex4
68;68;Uncommon;;Point d'échange;Warp Point;ワープポイント;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471805.jpg;ex4
69;69;Uncommon;;Sort de force;Strength Charm;ちからのかけら;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471754.jpg;ex4
70;70;Uncommon;;Raclée de Team Magma;Team Magma Belt;マグマ団のパルサー;Trainer;NoColor;;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471755.jpg;ex4
71;71;Uncommon;;Raclée de Team Aqua;Team Aqua Belt;アクア団のパルサー;Trainer;NoColor;;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471806.jpg;ex4
72;72;Common;;Manipulateur de Team Magma;Team Magma Schemer;マグマ団の男;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471807.jpg;ex4
73;73;Common;;Manipulateur de Team Aqua;Team Aqua Schemer;アクア団の男;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471758.jpg;ex4
74;74;Uncommon;;Max;Maxie;マツブサ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1475226.jpg;ex4
75;75;Uncommon;;Arthur;Archie;アオギリ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471759.jpg;ex4
76;76;Uncommon;;Machine Technique 01 de Team Magma;Team Magma's Technical Machine 01;マグマ団のワザマシン01;Trainer;NoColor;;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471809.jpg;ex4
77;77;Uncommon;;Machine Technique 01 de Team Aqua;Team Aqua's Technical Machine 01;アクア団のワザマシン01;Trainer;NoColor;;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471760.jpg;ex4
78;78;Rare;;Double Énergie Multicolore;Double Rainbow Energy;Ｗレインボーエネルギー;Energy;NoColor;;Takumi Akabane;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471810.jpg;ex4
79;79;Uncommon;;Énergie Magma;Magma Energy;マグマエネルギー;Energy;NoColor;;Takumi Akabane;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471811.jpg;ex4
80;80;Uncommon;;Énergie Aqua;Aqua Energy;アクアエネルギー;Energy;NoColor;;Takumi Akabane;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471812.jpg;ex4
