rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
74;74;Uncommon;;Galegon;Lairon;1;Pokémon;Metal;305;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477954.jpg;ex11
75;75;Rare Holo;;Galeking;Aggron;1;Pokémon;Metal;306;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477955.jpg;ex11
76;76;Ultra;Star;Registeel;Registeel;1;Pokémon;Metal;379;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557074088/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_18.33.04.png;ex11
77;77;Common;;Fossile griffe;Claw Fossil;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477957.jpg;ex11
78;78;Common;;Mystérieux Fossile;Mysterious Fossil;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477958.jpg;ex11
79;79;Common;;Fossile racine;Root Fossil;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477959.jpg;ex11
80;80;Uncommon;;Travailleur de terrain;Fieldworker;1;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477960.jpg;ex11
81;81;Uncommon;;Cave étrange;Strange Cave;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477961.jpg;ex11
82;82;Uncommon;;Flamme maximale;Full Flame;;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477962.jpg;ex11
83;83;Uncommon;;Souche géante;Giant Stump;;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477877.jpg;ex11
84;84;Uncommon;;Pierre maléfique;Cursed Stone;;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477964.jpg;ex11
85;85;Uncommon;;Arbre à puissance;Power Tree;;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477965.jpg;ex11
86;86;Uncommon;;Énergie réaction;React Energy;;Energy;NoColor;;Takumi Akabane;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477966.jpg;ex11
