fr_name;us_name;number;code;reved;reved_name;french;fr_release_date;us_release_date;size;fr_logo_url;us_logo_url;symbol_url;fr_name_bloc
Évolutions;Evolutions;88;xy12;true;reverse;true;16/09/2016;02/11/2016;108;https://www.pokecardex.com/assets/images/logos/EVO.png;https://images.pokemontcg.io/xy12/logo.png;https://images.pokemontcg.io/xy12/symbol.png;XY
Offensive Vapeur;Steam Siege;87;xy11;true;reverse;true;16/08/2016;03/08/2016;114;https://www.pokecardex.com/assets/images/logos/STS.png;https://images.pokemontcg.io/xy11/logo.png;https://images.pokemontcg.io/xy11/symbol.png;XY
Impact des Destins;Fates Collide;86;xy10;true;reverse;true;07/05/2016;02/05/2016;124;https://www.pokecardex.com/assets/images/logos/FAC.png;https://images.pokemontcg.io/xy10/logo.png;https://images.pokemontcg.io/xy10/symbol.png;XY
Générations;Generations;85;g1;true;reverse;true;19/03/2016;22/02/2016;115;https://www.pokecardex.com/assets/images/logos/GNR.png;https://images.pokemontcg.io/g1/logo.png;https://images.pokemontcg.io/g1/symbol.png;XY
Rupture Turbo;BREAKpoint;84;xy9;true;reverse;true;06/02/2016;03/02/2016;122;https://www.pokecardex.com/assets/images/logos/BKP.png;https://images.pokemontcg.io/xy9/logo.png;https://images.pokemontcg.io/xy9/symbol.png;XY
Impulsion Turbo;BREAKthrough;83;xy8;true;reverse;true;07/11/2015;04/11/2015;162;https://www.pokecardex.com/assets/images/logos/BKT.png;https://images.pokemontcg.io/xy8/logo.png;https://images.pokemontcg.io/xy8/symbol.png;XY
Origines Antiques;Ancient Origins;82;xy7;true;reverse;true;22/08/2015;12/08/2015;98;https://www.pokecardex.com/assets/images/logos/AOR.png;https://images.pokemontcg.io/xy7/logo.png;https://images.pokemontcg.io/xy7/symbol.png;XY
Ciel Rugissant;Roaring Skies;81;xy6;true;reverse;true;23/05/2015;06/05/2015;108;https://www.pokecardex.com/assets/images/logos/ROS.png;https://images.pokemontcg.io/xy6/logo.png;https://images.pokemontcg.io/xy6/symbol.png;XY
Double Danger;Double Crisis;80;dc1;true;reverse;true;22/08/2015;25/03/2015;34;https://assets.pokemon.com/assets/cms2-fr-fr/img/trading-card-game/series/xy_series/xy-double-crisis/double-crisis-logo-169-fr.png;https://images.pokemontcg.io/dc1/logo.png;https://images.pokemontcg.io/dc1/symbol.png;XY
Primo Choc;Primal Clash;79;xy5;true;reverse;true;21/02/2015;04/02/2015;160;https://www.pokecardex.com/assets/images/logos/PRC.png;https://images.pokemontcg.io/xy5/logo.png;https://images.pokemontcg.io/xy5/symbol.png;XY
Vigueur Spectrale;Phantom Forces;78;xy4;true;reverse;true;08/11/2014;05/11/2014;119;https://www.pokecardex.com/assets/images/logos/PHF.png;https://images.pokemontcg.io/xy4/logo.png;https://images.pokemontcg.io/xy4/symbol.png;XY
Poings Furieux;Furious Fists;77;xy3;true;reverse;true;23/08/2014;13/08/2014;111;https://www.pokecardex.com/assets/images/logos/FFI.png;https://images.pokemontcg.io/xy3/logo.png;https://images.pokemontcg.io/xy3/symbol.png;XY
